O GATO C01 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C01 entrou na sala de repouso, meow meow meow ...
O CACHORRO D02 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D02 entrou na sala de repouso, au au au ...
O CACHORRO D01 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D01 entrou na sala de repouso, au au au ...
O CACHORRO D04 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D04 entrou na sala de repouso, au au au ...
O CACHORRO D03 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D03 entrou na sala de repouso, au au au ...
O GATO C02 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C02 entrou na sala de repouso, meow meow meow ...
O GATO C03 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C03 entrou na sala de repouso, meow meow meow ...
O GATO C04 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C04 entrou na sala de repouso, meow meow meow ...
O CACHORRO D05 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D05 entrou na sala de repouso, au au au ...
O GATO C05 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C05 entrou na sala de repouso, meow meow meow ...
O CACHORRO D06 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D06 entrou na sala de repouso, au au au ...
O GATO C06 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C06 entrou na sala de repouso, meow meow meow ...
O CACHORRO D07 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D07 entrou na sala de repouso, au au au ...
O GATO C07 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C07 entrou na sala de repouso, meow meow meow ...
O CACHORRO D08 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D08 entrou na sala de repouso, au au au ...
O GATO C08 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C08 entrou na sala de repouso, meow meow meow ...
O CACHORRO D09 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D09 entrou na sala de repouso, au au au ...
O GATO C09 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C09 entrou na sala de repouso, meow meow meow ...
O CACHORRO D10 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D10 entrou na sala de repouso, au au au ...
O GATO C10 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C10 entrou na sala de repouso, meow meow meow ...
